Contents of r2

,"(1,1,1)","ruleta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1,1,2)","ruleta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1,1,3)","torneo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1,1,4)","torneo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(2,1,1)","swap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2,1,2)","ins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2,1,3)","swap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2,1,4)","ins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(3,1,1)",271.449,256.101,262.477,268.742,254.16,255.942,244.886,248.398,254.16,249.259,253.014,249.259,268.742,249.259,248.342,254.16,254.16,253.014,253.014,249.259,244.886,244.886,248.398,248.342,258.969,268.742,248.342,244.886,248.398,256.101,,"(3,1,2)",,"(1,1)",,,"(1,2)",261.552,254.16,248.398,248.398,261.552,253.014,244.886,269.544,244.886,249.259,244.886,244.886,255.635,254.16,268.166,256.101,244.886,262.477,268.166,248.398,244.886,249.259,248.398,249.259,268.742,244.886,277.337,283.491,254.16,256.101,,"(3,1,3)",248.398,270.523,244.886,249.259,249.259,248.398,283.491,254.16,261.93,248.398,248.398,254.16,248.342,248.398,288.199,253.014,248.398,257.618,249.259,248.342,255.942,244.886,254.16,248.342,280.245,248.398,255.635,280.77,248.398,261.93,,"(3,1,4)",,"(1,1)",,,"(1,2)",248.342,248.398,255.635,248.398,254.16,296.06,279.853,244.886,244.886,244.886,248.342,253.014,278.028,269.774,244.886,244.886,248.398,280.793,248.398,253.014,254.087,262.477,248.398,248.398,254.16,248.398,244.886,244.886,249.259,255.635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
